status of checking account,duration in month,credit history,purpose,credit amount,savings account/bonds,present employment since,installment rate in percentage,personal status and sex,other debtors / guarantors,present residence since,property,age,other installment plans,housing,number of existing credits,job,no of people being liable,telephone,foreign worker,class
no checking account,24,existing credits paid back duly till now,radio/television,3105,unknown/ no savings account, x < 1 year,4,male:single,none,2,car or other,25,none,own,2,skilled employee/official,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,21,critical account/ other credits existing (not at this bank),education,2319,x <  100 DM, x < 1 year,2,male:divorced/separated,none,1,car or other,33,none,rent,1,skilled employee/official,1,none,yes,2
x < 0 DM,6,existing credits paid back duly till now,car (new),1374,unknown/ no savings account,unemployed,4,female:divorced/separated/married,none,3,if not A121:building society savings agreement/life insurance,75,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,x <  100 DM,x >= 7 years,3,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,37,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,48,existing credits paid back duly till now,car (new),7763,x <  100 DM,x >= 7 years,4,male:single,none,4,unknown/no property,42,bank,for free,1,management/self-employed/highly qualified employee/ officer,1,none,yes,2
x >= 200 DM_salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,3049,x <  100 DM, x < 1 year,1,female:divorced/separated/married,none,1,if not A121:building society savings agreement/life insurance,45,stores,own,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,radio/television,1534,x <  100 DM, x < 1 year,1,male:married/widowed,none,1,real estate,23,none,rent,1,skilled employee/official,1,none,yes,2
no checking account,24,delay in paying off in the past,car (new),2032,x <  100 DM,x >= 7 years,4,male:single,none,4,unknown/no property,60,none,for free,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/ no savings account,x >= 7 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,none,yes,2
x >= 200 DM_salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2864,x <  100 DM,1  <= x < 4 years,2,male:single,none,1,real estate,34,none,own,1,unskilled-resident,2,none,yes,2
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1255,x <  100 DM,x >= 7 years,4,male:single,none,4,real estate,61,none,own,2,unskilled-resident,1,none,yes,1
x < 0 DM,24,delay in paying off in the past,car (new),1333,x <  100 DM,unemployed,4,male:single,none,2,real estate,43,none,for free,2,skilled employee/official,2,none,yes,2
no checking account,24,critical account/ other credits existing (not at this bank),car (new),2022,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,4,car or other,37,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,24,existing credits paid back duly till now,radio/television,1552,x <  100 DM,4  <= x < 7 years,3,male:single,none,1,car or other,32,bank,own,1,skilled employee/official,2,none,yes,1
x < 0 DM,12,all credits at this bank paid back duly,radio/television,626,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled-resident,1,none,yes,2
no checking account,48,critical account/ other credits existing (not at this bank),car (used),8858,unknown/ no savings account,4  <= x < 7 years,2,male:single,none,1,unknown/no property,35,none,for free,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,12,critical account/ other credits existing (not at this bank),repairs,996,unknown/ no savings account,4  <= x < 7 years,4,female:divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee/official,1,none,yes,1
no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 <= x < 1000 DM,x >= 7 years,2,male:single,none,4,if not A121:building society savings agreement/life insurance,45,bank,own,1,unskilled-resident,2,none,yes,1
x < 0 DM,48,existing credits paid back duly till now,radio/television,6999,x <  100 DM,4  <= x < 7 years,1,male:married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 <= x <  500 DM, x < 1 year,4,male:single,none,1,car or other,27,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,9,existing credits paid back duly till now,education,1199,x <  100 DM,4  <= x < 7 years,4,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,67,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,radio/television,1331,x <  100 DM, x < 1 year,2,male:single,none,1,car or other,22,stores,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,100 <= x <  500 DM, x < 1 year,3,female:divorced/separated/married,none,3,car or other,28,none,own,2,skilled employee/official,1,none,yes,2
no checking account,21,no credits taken/ all credits paid back duly,car (new),5003,unknown/ no savings account,1  <= x < 4 years,1,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,29,bank,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
x < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,x <  100 DM,4  <= x < 7 years,3,male:single,none,4,car or other,27,bank,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1928,x <  100 DM, x < 1 year,2,male:single,none,2,real estate,31,none,own,2,unskilled-resident,1,none,yes,2
x < 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown/ no savings account,x >= 7 years,4,male:single,none,4,unknown/no property,49,bank,for free,1,skilled employee/official,2,"yes, registered under the customers name",yes,1
x < 0 DM,24,all credits at this bank paid back duly,radio/television,1546,x <  100 DM,4  <= x < 7 years,4,male:single,guarantor,4,car or other,24,bank,rent,1,unskilled-resident,1,none,yes,2
x >= 200 DM_salary assignments for at least 1 year,6,delay in paying off in the past,radio/television,683,x <  100 DM, x < 1 year,2,female:divorced/separated/married,none,1,if not A121:building society savings agreement/life insurance,29,bank,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,1  <= x < 4 years,1,male:single,none,4,unknown/no property,37,none,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,1  <= x < 4 years,4,male:single,none,2,if not A121:building society savings agreement/life insurance,37,bank,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,24,delay in paying off in the past,radio/television,1553,100 <= x <  500 DM,4  <= x < 7 years,3,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,23,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,12,existing credits paid back duly till now,car (new),1372,x <  100 DM,4  <= x < 7 years,2,male:divorced/separated,none,3,car or other,36,none,own,1,skilled employee/official,1,none,yes,2
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2578,x >= 1000 DM,x >= 7 years,2,male:single,none,2,car or other,34,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,48,existing credits paid back duly till now,radio/television,3979,unknown/ no savings account,4  <= x < 7 years,4,male:single,none,1,car or other,41,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,1
x < 0 DM,48,existing credits paid back duly till now,radio/television,6758,x <  100 DM,1  <= x < 4 years,3,female:divorced/separated/married,none,2,car or other,31,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
x < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled-resident,1,"yes, registered under the customers name",yes,2
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,x <  100 DM,4  <= x < 7 years,3,male:single,co-applicant,2,car or other,38,none,own,1,skilled employee/official,1,none,yes,1
no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,26,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,15,existing credits paid back duly till now,business,806,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,22,none,own,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,9,existing credits paid back duly till now,radio/television,1082,x <  100 DM,x >= 7 years,4,male:single,none,4,car or other,27,none,own,2,unskilled-resident,1,none,yes,1
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,x <  100 DM,4  <= x < 7 years,2,female:divorced/separated/married,co-applicant,3,car or other,24,bank,own,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,radio/television,2930,x <  100 DM,4  <= x < 7 years,2,female:divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee/official,1,none,yes,1
no checking account,24,critical account/ other credits existing (not at this bank),education,1927,unknown/ no savings account,1  <= x < 4 years,3,female:divorced/separated/married,none,2,car or other,33,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,36,critical account/ other credits existing (not at this bank),car (new),2820,x <  100 DM, x < 1 year,4,male:divorced/separated,none,4,car or other,27,none,own,2,skilled employee/official,1,none,yes,2
no checking account,24,existing credits paid back duly till now,retraining,937,x <  100 DM, x < 1 year,4,male:married/widowed,none,3,car or other,27,none,own,2,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),1056,x <  100 DM,x >= 7 years,3,male:single,guarantor,3,real estate,30,bank,own,2,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),3124,x <  100 DM, x < 1 year,1,male:single,none,3,real estate,49,bank,own,2,unskilled-resident,2,none,yes,1
no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,36,existing credits paid back duly till now,repairs,2384,x <  100 DM, x < 1 year,4,male:single,none,1,unknown/no property,33,none,rent,1,unskilled-resident,1,none,yes,2
no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/ no savings account,x >= 7 years,4,female:divorced/separated/married,none,4,unknown/no property,52,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,x <  100 DM,1  <= x < 4 years,1,female:divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee/official,1,none,yes,2
x < 0 DM,9,critical account/ other credits existing (not at this bank),car (new),2799,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,real estate,36,none,rent,2,skilled employee/official,2,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,x <  100 DM,1  <= x < 4 years,4,male:single,guarantor,1,if not A121:building society savings agreement/life insurance,21,none,own,1,unskilled-resident,1,none,yes,1
x < 0 DM,18,existing credits paid back duly till now,domestic appliances,1217,x <  100 DM,1  <= x < 4 years,4,male:married/widowed,none,3,real estate,47,none,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,2
x < 0 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,2246,x <  100 DM,x >= 7 years,3,male:single,none,3,if not A121:building society savings agreement/life insurance,60,none,own,2,skilled employee/official,1,none,yes,2
x < 0 DM,12,critical account/ other credits existing (not at this bank),radio/television,385,x <  100 DM,4  <= x < 7 years,4,female:divorced/separated/married,none,3,real estate,58,none,own,4,unskilled-resident,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,24,delay in paying off in the past,car (new),1965,unknown/ no savings account,1  <= x < 4 years,4,female:divorced/separated/married,none,4,car or other,42,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,21,existing credits paid back duly till now,business,1572,x >= 1000 DM,x >= 7 years,4,female:divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,24,existing credits paid back duly till now,car (new),2718,x <  100 DM,1  <= x < 4 years,3,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,20,none,rent,1,unskilled-resident,1,"yes, registered under the customers name",yes,2
x < 0 DM,24,all credits at this bank paid back duly,others,1358,unknown/ no savings account,x >= 7 years,4,male:single,none,3,car or other,40,stores,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= x <  500 DM, x < 1 year,1,female:divorced/separated/married,none,1,if not A121:building society savings agreement/life insurance,32,stores,own,1,unskilled-resident,1,none,yes,2
x < 0 DM,24,existing credits paid back duly till now,car (new),1442,x <  100 DM,4  <= x < 7 years,4,female:divorced/separated/married,none,4,car or other,23,none,rent,2,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,24,no credits taken/ all credits paid back duly,business,4241,x <  100 DM,1  <= x < 4 years,1,male:single,none,4,real estate,36,none,own,3,unskilled-resident,1,"yes, registered under the customers name",yes,2
no checking account,18,critical account/ other credits existing (not at this bank),car (new),2775,x <  100 DM,4  <= x < 7 years,2,male:single,none,2,if not A121:building society savings agreement/life insurance,31,bank,own,2,skilled employee/official,1,none,yes,2
no checking account,24,delay in paying off in the past,business,3863,x <  100 DM,1  <= x < 4 years,1,male:single,none,2,unknown/no property,32,none,for free,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,7,existing credits paid back duly till now,radio/television,2329,x <  100 DM, x < 1 year,1,female:divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,1,if not A121:building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,24,all credits at this bank paid back duly,education,1837,x <  100 DM,4  <= x < 7 years,4,female:divorced/separated/married,none,4,unknown/no property,34,bank,for free,1,unskilled-resident,1,none,yes,2
no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,2,car or other,28,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
x >= 200 DM_salary assignments for at least 1 year,10,existing credits paid back duly till now,furniture/equipment,1275,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,2828,500 <= x < 1000 DM,1  <= x < 4 years,4,male:single,none,4,real estate,22,stores,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,24,critical account/ other credits existing (not at this bank),business,4526,x <  100 DM,1  <= x < 4 years,3,male:single,none,2,real estate,74,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,36,existing credits paid back duly till now,radio/television,2671,100 <= x <  500 DM,1  <= x < 4 years,4,female:divorced/separated/married,co-applicant,4,unknown/no property,50,none,for free,1,skilled employee/official,1,none,yes,2
no checking account,18,existing credits paid back duly till now,radio/television,2051,x <  100 DM, x < 1 year,4,male:single,none,1,real estate,33,none,own,1,skilled employee/official,1,none,yes,1
no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/ no savings account,x >= 7 years,4,male:single,none,4,unknown/no property,45,bank,for free,1,skilled employee/official,2,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,domestic appliances,741,100 <= x <  500 DM,unemployed,4,female:divorced/separated/married,none,3,if not A121:building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,none,yes,2
x >= 200 DM_salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1240,100 <= x <  500 DM,x >= 7 years,1,female:divorced/separated/married,none,4,unknown/no property,48,none,for free,1,unskilled-resident,2,none,yes,2
x < 0 DM,21,existing credits paid back duly till now,radio/television,3357,x >= 1000 DM, x < 1 year,4,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,24,all credits at this bank paid back duly,car (used),3632,x <  100 DM,1  <= x < 4 years,1,female:divorced/separated/married,guarantor,4,car or other,22,bank,rent,1,skilled employee/official,1,none,no,1
no checking account,18,delay in paying off in the past,furniture/equipment,1808,x <  100 DM,4  <= x < 7 years,4,female:divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,48,no credits taken/ all credits paid back duly,business,12204,unknown/ no savings account,1  <= x < 4 years,2,male:single,none,2,car or other,48,bank,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,60,delay in paying off in the past,radio/television,9157,unknown/ no savings account,1  <= x < 4 years,2,male:single,none,2,unknown/no property,27,none,for free,1,management/self-employed/highly qualified employee/ officer,1,none,yes,1
x < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),3676,x <  100 DM,1  <= x < 4 years,1,male:single,none,3,real estate,37,none,rent,3,skilled employee/official,2,none,yes,1
0 <= x < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,100 <= x <  500 DM,1  <= x < 4 years,2,female:divorced/separated/married,co-applicant,4,car or other,21,none,rent,1,skilled employee/official,1,none,yes,2
no checking account,12,existing credits paid back duly till now,car (new),640,x <  100 DM,1  <= x < 4 years,4,male:divorced/separated,none,2,real estate,49,none,own,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,21,critical account/ other credits existing (not at this bank),business,3652,x <  100 DM,4  <= x < 7 years,2,male:single,none,3,if not A121:building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,none,yes,1
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1530,x <  100 DM,1  <= x < 4 years,3,male:single,none,2,if not A121:building society savings agreement/life insurance,32,bank,own,2,skilled employee/official,1,none,yes,2
no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,1  <= x < 4 years,4,male:divorced/separated,none,2,real estate,38,bank,own,1,skilled employee/official,1,none,yes,2
x < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,1,car or other,22,none,rent,1,skilled employee/official,1,none,yes,1
x < 0 DM,18,existing credits paid back duly till now,radio/television,2600,x <  100 DM,1  <= x < 4 years,4,male:single,none,4,unknown/no property,65,none,for free,2,skilled employee/official,1,none,yes,2
no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,x >= 7 years,4,male:single,none,2,car or other,35,none,own,1,skilled employee/official,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,6,existing credits paid back duly till now,furniture/equipment,2116,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,real estate,41,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,9,all credits at this bank paid back duly,car (new),1437,100 <= x <  500 DM,4  <= x < 7 years,2,male:single,none,3,unknown/no property,29,none,own,1,skilled employee/official,1,none,yes,2
no checking account,42,critical account/ other credits existing (not at this bank),furniture/equipment,4042,500 <= x < 1000 DM,1  <= x < 4 years,4,male:single,none,4,real estate,36,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,9,existing credits paid back duly till now,education,3832,unknown/ no savings account,x >= 7 years,1,male:single,none,4,real estate,64,none,own,1,unskilled-resident,1,none,yes,1
x < 0 DM,24,existing credits paid back duly till now,radio/television,3660,x <  100 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,4,car or other,28,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,18,all credits at this bank paid back duly,furniture/equipment,1553,x <  100 DM,1  <= x < 4 years,4,male:single,none,3,car or other,44,bank,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/ no savings account, x < 1 year,4,male:single,none,1,if not A121:building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,none,yes,1
no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,x <  100 DM, x < 1 year,2,female:divorced/separated/married,co-applicant,2,car or other,19,none,rent,2,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,24,existing credits paid back duly till now,car (new),1355,x <  100 DM, x < 1 year,3,female:divorced/separated/married,none,4,car or other,25,none,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,2
no checking account,12,existing credits paid back duly till now,education,1393,x <  100 DM,x >= 7 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,47,bank,own,3,skilled employee/official,2,"yes, registered under the customers name",yes,1
no checking account,24,existing credits paid back duly till now,radio/television,1376,500 <= x < 1000 DM,4  <= x < 7 years,4,female:divorced/separated/married,none,1,car or other,28,none,own,1,skilled employee/official,1,none,yes,1
no checking account,60,delay in paying off in the past,radio/television,15653,x <  100 DM,4  <= x < 7 years,2,male:single,none,4,car or other,21,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,radio/television,1493,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee/official,2,none,yes,1
x < 0 DM,42,delay in paying off in the past,radio/television,4370,x <  100 DM,4  <= x < 7 years,3,male:single,none,2,if not A121:building society savings agreement/life insurance,26,bank,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,2
x < 0 DM,18,existing credits paid back duly till now,education,750,x <  100 DM,unemployed,4,female:divorced/separated/married,none,1,real estate,27,none,own,1,unemployed/unskilled-non-resident,1,none,yes,2
0 <= x < 200 DM,15,existing credits paid back duly till now,repairs,1308,x <  100 DM,x >= 7 years,4,male:single,none,4,car or other,38,none,own,2,unskilled-resident,1,none,yes,1
no checking account,15,existing credits paid back duly till now,education,4623,100 <= x <  500 DM,1  <= x < 4 years,3,male:single,none,2,if not A121:building society savings agreement/life insurance,40,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1851,x <  100 DM,4  <= x < 7 years,4,male:married/widowed,guarantor,2,car or other,33,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,1880,x <  100 DM,4  <= x < 7 years,4,male:married/widowed,none,1,if not A121:building society savings agreement/life insurance,32,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,36,delay in paying off in the past,business,7980,unknown/ no savings account, x < 1 year,4,male:single,none,4,car or other,27,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
x < 0 DM,30,no credits taken/ all credits paid back duly,furniture/equipment,4583,x <  100 DM,1  <= x < 4 years,2,male:divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee/official,1,none,yes,1
no checking account,12,existing credits paid back duly till now,car (new),1386,500 <= x < 1000 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,none,yes,2
x >= 200 DM_salary assignments for at least 1 year,24,existing credits paid back duly till now,car (new),947,x <  100 DM,4  <= x < 7 years,4,male:single,none,3,unknown/no property,38,bank,for free,1,skilled employee/official,2,none,yes,2
x < 0 DM,12,existing credits paid back duly till now,education,684,x <  100 DM,1  <= x < 4 years,4,male:single,none,4,car or other,40,none,rent,1,unskilled-resident,2,none,yes,2
x < 0 DM,48,existing credits paid back duly till now,education,7476,x <  100 DM,4  <= x < 7 years,4,male:single,none,1,unknown/no property,50,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,if not A121:building society savings agreement/life insurance,37,none,own,1,unskilled-resident,1,none,yes,2
x < 0 DM,24,existing credits paid back duly till now,car (new),2303,x <  100 DM,x >= 7 years,4,male:single,co-applicant,1,real estate,45,none,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,36,delay in paying off in the past,car (new),8086,100 <= x <  500 DM,x >= 7 years,2,male:single,none,4,car or other,42,none,own,4,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,24,critical account/ other credits existing (not at this bank),car (used),2346,x <  100 DM,4  <= x < 7 years,4,male:single,none,3,car or other,35,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,14,existing credits paid back duly till now,car (new),3973,x <  100 DM,unemployed,1,male:single,none,4,unknown/no property,22,none,for free,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,car (new),888,x <  100 DM,x >= 7 years,4,male:single,none,4,car or other,41,bank,own,1,unskilled-resident,2,none,yes,2
no checking account,48,existing credits paid back duly till now,radio/television,10222,unknown/ no savings account,4  <= x < 7 years,4,male:single,none,3,car or other,37,stores,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,30,no credits taken/ all credits paid back duly,business,4221,x <  100 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,6361,x <  100 DM,x >= 7 years,2,male:single,none,1,unknown/no property,41,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1297,x <  100 DM,1  <= x < 4 years,3,male:married/widowed,none,4,real estate,23,none,rent,1,skilled employee/official,1,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,car (new),900,unknown/ no savings account,1  <= x < 4 years,4,male:married/widowed,none,2,car or other,23,none,own,1,skilled employee/official,1,none,yes,2
no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,x <  100 DM,x >= 7 years,4,male:single,none,2,real estate,50,none,own,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,6,delay in paying off in the past,furniture/equipment,1050,x <  100 DM,unemployed,4,male:single,none,1,if not A121:building society savings agreement/life insurance,35,stores,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),education,1047,x <  100 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,50,none,own,1,unskilled-resident,1,none,yes,1
no checking account,24,critical account/ other credits existing (not at this bank),others,6314,x <  100 DM,unemployed,4,male:single,co-applicant,2,unknown/no property,27,bank,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3496,x >= 1000 DM,1  <= x < 4 years,4,male:single,none,2,car or other,34,stores,own,1,skilled employee/official,2,"yes, registered under the customers name",yes,1
no checking account,48,all credits at this bank paid back duly,business,3609,x <  100 DM,1  <= x < 4 years,1,female:divorced/separated/married,none,1,real estate,27,stores,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),4843,x <  100 DM,x >= 7 years,3,male:single,co-applicant,4,if not A121:building society savings agreement/life insurance,43,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
